id,created_at,register_in_id,register_out_id
3504,2024-10-03 15:09:13,5107,3793
3503,2024-10-03 15:08:21,5106,3794
3502,2024-10-03 14:46:21,5108,3791
3501,2024-10-03 14:33:31,5105,3792
3500,2024-10-03 14:29:24,5102,3790
3499,2024-10-03 14:11:27,5101,3789
3498,2024-10-03 14:04:14,5100,3788
3497,2024-10-03 14:02:22,5099,3787
3496,2024-10-03 13:56:40,5098,3786
3495,2024-10-03 13:10:16,5096,3785
3494,2024-10-03 12:44:54,5095,3784
3493,2024-10-03 12:36:33,5094,3780
3492,2024-10-03 12:35:38,5093,3778
3491,2024-10-03 12:34:12,5092,3782
3490,2024-10-03 12:25:54,5091,3777
3488,2024-10-03 12:09:24,5088,3776
3486,2024-10-03 11:40:36,5086,3775
3483,2024-10-03 9:31:05,5084,3773
3476,2024-10-03 2:35:39,5076,3769
3474,2024-10-03 2:21:04,5075,3768
3473,2024-10-03 2:18:06,5074,3766
3470,2024-10-03 0:15:35,5056,3745
3469,2024-10-03 0:11:10,5054,3742
3468,2024-10-03 0:07:06,5053,3749
3467,2024-10-03 0:06:40,5052,3746
3466,2024-10-03 0:05:28,5051,3741
3463,2024-10-02 22:52:40,5049,3740
3460,2024-10-02 19:39:02,5045,3739
3459,2024-10-02 18:47:13,5041,3731
3458,2024-10-02 18:45:07,5040,3730
3457,2024-10-02 18:44:41,5039,3737
3456,2024-10-02 18:41:15,5042,3734
3454,2024-10-02 18:40:02,5037,3732
3453,2024-10-02 18:22:51,5035,3724
3452,2024-10-02 18:18:27,5034,3726
3449,2024-10-02 18:04:26,5046,3738
3446,2024-10-02 17:32:26,5028,3719
3445,2024-10-02 17:31:58,5029,3720
3442,2024-10-02 16:59:10,5022,3717
3441,2024-10-02 16:50:49,5020,3721
3438,2024-10-02 16:45:24,5015,3713
3437,2024-10-02 16:40:22,5013,3709
3436,2024-10-02 16:26:41,5010,3710
3434,2024-10-02 16:19:59,5008,3708
3433,2024-10-02 16:07:33,5006,3707
3432,2024-10-02 15:51:56,5001,3733
3431,2024-10-02 15:49:09,4999,3703
3430,2024-10-02 15:49:07,4998,3702
3429,2024-10-02 15:33:57,4994,3698
3426,2024-10-02 15:30:35,4991,3695
3425,2024-10-02 15:30:21,4993,3690
3424,2024-10-02 15:28:49,4987,3693
3423,2024-10-02 15:28:16,4986,3691
3422,2024-10-02 15:24:59,4983,3687
3421,2024-10-02 15:22:34,4984,3692
3420,2024-10-02 15:20:41,4981,3696
3419,2024-10-02 15:19:07,4982,3678
3418,2024-10-02 15:18:58,4985,3685
3417,2024-10-02 15:16:41,4979,3679
3415,2024-10-02 15:05:44,4978,3671
3414,2024-10-02 15:05:35,4977,3675
3413,2024-10-02 15:03:48,4976,3674
3412,2024-10-02 14:52:32,4974,3670
3411,2024-10-02 14:30:25,4971,3664
3410,2024-10-02 14:27:29,4973,3666
3408,2024-10-02 14:17:08,4967,3662
3404,2024-10-02 14:11:06,4963,3658
3403,2024-10-02 14:08:57,4962,3657
3402,2024-10-02 13:54:41,4960,3655
3401,2024-10-02 13:43:35,4957,3654
3400,2024-10-02 13:41:52,4958,3653
3399,2024-10-02 13:41:17,4956,3651
3396,2024-10-02 13:13:31,4954,3650
3395,2024-10-02 13:02:25,4989,3681
3393,2024-10-02 12:42:26,4952,3646
3392,2024-10-02 12:13:42,4950,3643
3390,2024-10-02 11:48:30,4946,3640
3389,2024-10-02 10:57:00,4944,3638
3387,2024-10-02 10:18:15,4943,3636
3386,2024-10-02 10:14:09,4942,3637
3385,2024-10-02 10:01:21,4940,3635
3384,2024-10-02 4:52:00,4937,3634
3375,2024-10-02 2:48:38,4928,3631
3372,2024-10-02 2:41:44,4927,3630
3368,2024-10-02 0:51:12,4915,3621
3367,2024-10-02 0:50:38,4916,3618
3365,2024-10-02 0:50:09,4918,3626
3364,2024-10-02 0:48:24,4913,3619
3361,2024-10-02 0:00:35,4910,3580
3358,2024-10-01 23:25:57,4906,3578
3357,2024-10-01 22:27:55,4905,3577
3354,2024-10-01 19:36:03,4903,3571
3353,2024-10-01 19:25:15,4902,3570
3351,2024-10-01 19:01:47,4901,3569
3348,2024-10-01 18:53:02,4900,3567
3343,2024-10-01 17:16:11,4895,3561
3342,2024-10-01 17:14:21,4894,3547
3341,2024-10-01 16:59:28,4893,3544
3339,2024-10-01 16:42:40,4892,3541
3338,2024-10-01 16:40:07,4888,3540
3337,2024-10-01 16:39:08,4890,3542
3336,2024-10-01 16:33:01,4889,3543
3332,2024-10-01 15:48:52,4881,3529
3330,2024-10-01 15:45:41,4877,3530
3329,2024-10-01 15:45:30,4878,3528
3327,2024-10-01 15:09:39,4867,3521
3326,2024-10-01 15:09:15,4866,3545
3324,2024-10-01 15:05:40,4865,3517
3323,2024-10-01 14:41:37,4863,3516
3320,2024-10-01 14:32:39,4861,3514
3318,2024-10-01 14:29:37,4860,3515
3316,2024-10-01 14:24:25,4857,3512
3314,2024-10-01 14:14:15,4855,3510
3313,2024-10-01 14:13:41,4854,3511
3310,2024-10-01 14:08:40,4853,3509
3308,2024-10-01 12:24:35,4846,3486
3307,2024-10-01 12:13:19,4845,3505
3306,2024-10-01 12:04:54,4843,3480
3305,2024-10-01 11:58:57,4842,3489
3304,2024-10-01 11:34:24,4841,3479
3303,2024-10-01 11:01:50,4844,3488
3298,2024-10-01 2:31:09,4832,3475
3297,2024-10-01 0:59:27,4824,3470
3295,2024-10-01 0:49:24,4820,3474
3292,2024-10-01 0:38:10,4817,3465
3290,2024-10-01 0:08:12,4816,3468
3289,2024-10-01 0:00:21,4814,3462
3288,2024-09-30 23:47:20,4812,3456
3286,2024-09-30 22:00:30,4811,3455
3282,2024-09-30 20:31:38,4807,3454
3281,2024-09-30 20:15:17,4806,3452
3278,2024-09-30 20:02:13,4805,3447
3271,2024-09-30 19:13:16,4802,3451
3268,2024-09-30 18:47:41,4800,3442
3266,2024-09-30 18:40:08,4798,3438
3263,2024-09-30 18:30:14,4797,3437
3260,2024-09-30 17:55:15,4796,3436
3259,2024-09-30 17:20:29,4793,3434
3258,2024-09-30 17:17:21,4792,3431
3254,2024-09-30 16:27:48,4769,3386
3253,2024-09-30 16:25:41,4771,3387
3252,2024-09-30 16:24:57,4768,3389
3251,2024-09-30 16:24:47,4767,3377
3250,2024-09-30 16:22:12,4766,3375
3249,2024-09-30 16:20:47,4765,3380
3241,2024-09-30 15:45:47,4757,3403
3239,2024-09-30 15:44:36,4754,3370
3238,2024-09-30 15:44:11,4751,3364
3236,2024-09-30 15:44:09,4750,3368
3234,2024-09-30 15:43:14,4752,3367
3233,2024-09-30 15:43:13,4747,3354
3231,2024-09-30 15:42:28,4753,3366
3230,2024-09-30 15:42:27,4749,3363
3228,2024-09-30 15:42:04,4748,3369
3226,2024-09-30 15:25:21,4745,3365
3225,2024-09-30 15:04:38,4744,3353
3224,2024-09-30 14:33:58,4764,3374
3222,2024-09-30 13:43:15,4742,3390
3221,2024-09-30 1:47:57,4741,3352
3220,2024-09-29 23:24:43,4740,3351
3219,2024-09-29 18:21:35,4738,3348
3216,2024-09-29 18:09:27,4737,3349
3215,2024-09-29 18:01:52,4734,3346
3212,2024-09-29 17:49:58,4729,3344
3211,2024-09-29 17:40:46,4728,3343
3209,2024-09-29 15:38:52,4726,3342
3208,2024-09-29 15:33:01,4725,3341
3207,2024-09-29 15:19:51,4722,3338
3206,2024-09-29 15:19:10,4721,3337
3205,2024-09-29 14:19:34,4718,3333
3204,2024-09-29 14:19:08,4717,3334
3197,2024-09-29 1:54:34,4714,3331
3194,2024-09-29 0:13:10,4710,3321
3192,2024-09-29 0:01:30,4709,3330
3191,2024-09-29 0:01:05,4708,3320
3188,2024-09-28 23:43:35,4705,3315
3187,2024-09-28 23:42:46,4706,3319
3186,2024-09-28 23:39:20,4703,3318
3185,2024-09-28 23:37:53,4704,3317
3182,2024-09-28 23:14:35,4695,3311
3181,2024-09-28 23:12:51,4694,3310
3180,2024-09-28 22:41:59,4688,3294
3179,2024-09-28 22:41:49,4687,3291
3177,2024-09-28 22:38:53,4684,3278
3176,2024-09-28 22:12:15,4683,3288
3174,2024-09-28 22:08:29,4681,3276
3173,2024-09-28 20:22:20,4678,3303
3171,2024-09-28 19:52:49,4674,3265
3167,2024-09-28 19:05:44,4665,3256
3166,2024-09-28 19:00:49,4664,3251
3165,2024-09-28 18:26:58,4660,3247
3164,2024-09-28 18:15:58,4659,3245
3163,2024-09-28 18:10:43,4658,3244
3159,2024-09-28 16:03:08,4656,3241
3158,2024-09-28 15:40:37,4651,3239
3157,2024-09-28 15:38:02,4650,3236
3154,2024-09-28 15:34:31,4652,3237
3152,2024-09-28 15:30:25,4649,3296
3151,2024-09-28 15:06:44,4648,3234
3146,2024-09-28 14:51:30,4685,3289